date,value,value_high,value_low,iso_code,indicator
2022-10-28,37042151,37042151,37042151,AFG,people_with_insufficient_food_consumption
2022-10-29,37033925,37033925,37033925,AFG,people_with_insufficient_food_consumption
2022-10-30,37032026,37032026,37032026,AFG,people_with_insufficient_food_consumption
2022-10-31,37043389,37043389,37043389,AFG,people_with_insufficient_food_consumption
2022-11-01,36978440,36978440,36978440,AFG,people_with_insufficient_food_consumption
2022-11-02,36913589,36913589,36913589,AFG,people_with_insufficient_food_consumption
2022-11-03,36954716,36954716,36954716,AFG,people_with_insufficient_food_consumption
2022-11-04,36847912,36847912,36847912,AFG,people_with_insufficient_food_consumption
2022-11-05,36809541,36809541,36809541,AFG,people_with_insufficient_food_consumption
2022-11-06,36714392,36714392,36714392,AFG,people_with_insufficient_food_consumption
2022-11-07,36750679,36750679,36750679,AFG,people_with_insufficient_food_consumption
2022-11-08,36662416,36662416,36662416,AFG,people_with_insufficient_food_consumption
2022-11-09,36793677,36793677,36793677,AFG,people_with_insufficient_food_consumption
2022-11-10,36894286,36894286,36894286,AFG,people_with_insufficient_food_consumption
2022-11-11,37008241,37008241,37008241,AFG,people_with_insufficient_food_consumption
2022-11-12,36999531,36999531,36999531,AFG,people_with_insufficient_food_consumption
2022-11-13,36941617,36941617,36941617,AFG,people_with_insufficient_food_consumption
2022-11-14,37044228,37044228,37044228,AFG,people_with_insufficient_food_consumption
2022-11-15,36999592,36999592,36999592,AFG,people_with_insufficient_food_consumption
2022-11-16,36983005,36983005,36983005,AFG,people_with_insufficient_food_consumption
2022-11-17,36832026,36832026,36832026,AFG,people_with_insufficient_food_consumption
2022-11-18,36808692,36808692,36808692,AFG,people_with_insufficient_food_consumption
2022-11-19,36561051,36561051,36561051,AFG,people_with_insufficient_food_consumption
2022-11-20,36566809,36566809,36566809,AFG,people_with_insufficient_food_consumption
2022-11-21,36490038,36490038,36490038,AFG,people_with_insufficient_food_consumption
2022-11-22,36324941,36324941,36324941,AFG,people_with_insufficient_food_consumption
2022-11-23,36281625,36281625,36281625,AFG,people_with_insufficient_food_consumption
2022-11-24,36401539,36401539,36401539,AFG,people_with_insufficient_food_consumption
2022-11-25,36350401,36350401,36350401,AFG,people_with_insufficient_food_consumption
2022-11-26,36406663,36406663,36406663,AFG,people_with_insufficient_food_consumption
2022-11-27,36357983,36357983,36357983,AFG,people_with_insufficient_food_consumption
2022-11-28,36416809,36416809,36416809,AFG,people_with_insufficient_food_consumption
2022-11-29,36381510,36381510,36381510,AFG,people_with_insufficient_food_consumption
2022-11-30,36292054,36292054,36292054,AFG,people_with_insufficient_food_consumption
2022-12-01,36375942,36375942,36375942,AFG,people_with_insufficient_food_consumption
2022-12-02,36341788,36341788,36341788,AFG,people_with_insufficient_food_consumption
2022-12-03,36469572,36469572,36469572,AFG,people_with_insufficient_food_consumption
2022-12-04,36579218,36579218,36579218,AFG,people_with_insufficient_food_consumption
2022-12-05,36654331,36654331,36654331,AFG,people_with_insufficient_food_consumption
2022-12-06,36642562,36642562,36642562,AFG,people_with_insufficient_food_consumption
2022-12-07,36656207,36656207,36656207,AFG,people_with_insufficient_food_consumption
2022-12-08,36763763,36763763,36763763,AFG,people_with_insufficient_food_consumption
2022-09-08,3765782,3765782,3765782,AGO,people_with_insufficient_food_consumption
2022-09-09,3695014,3695014,3695014,AGO,people_with_insufficient_food_consumption
2022-09-10,3779031,3779031,3779031,AGO,people_with_insufficient_food_consumption
2022-09-11,3721720,3721720,3721720,AGO,people_with_insufficient_food_consumption
2022-09-12,3658751,3658751,3658751,AGO,people_with_insufficient_food_consumption
2022-09-13,3764453,3764453,3764453,AGO,people_with_insufficient_food_consumption
2022-09-14,3870275,3870275,3870275,AGO,people_with_insufficient_food_consumption
2022-09-15,3868166,3868166,3868166,AGO,people_with_insufficient_food_consumption
2022-09-16,3948447,3948447,3948447,AGO,people_with_insufficient_food_consumption
2022-09-17,3668203,3668203,3668203,AGO,people_with_insufficient_food_consumption
2022-09-18,3692491,3692491,3692491,AGO,people_with_insufficient_food_consumption
2022-09-19,3628283,3628283,3628283,AGO,people_with_insufficient_food_consumption
2022-09-20,3875356,3875356,3875356,AGO,people_with_insufficient_food_consumption
2022-09-21,3868091,3868091,3868091,AGO,people_with_insufficient_food_consumption
2022-09-22,3976507,3976507,3976507,AGO,people_with_insufficient_food_consumption
2022-09-23,4000313,4000313,4000313,AGO,people_with_insufficient_food_consumption
2022-09-24,3942016,3942016,3942016,AGO,people_with_insufficient_food_consumption
2022-09-25,3829545,3829545,3829545,AGO,people_with_insufficient_food_consumption
2022-09-26,3802225,3802225,3802225,AGO,people_with_insufficient_food_consumption
2022-09-27,3821818,3821818,3821818,AGO,people_with_insufficient_food_consumption
2022-09-28,3844563,3844563,3844563,AGO,people_with_insufficient_food_consumption
2022-09-29,3834103,3834103,3834103,AGO,people_with_insufficient_food_consumption
2022-09-30,3913167,3913167,3913167,AGO,people_with_insufficient_food_consumption
2022-10-01,4498683,4498683,4498683,AGO,people_with_insufficient_food_consumption
2022-10-02,4510496,4510496,4510496,AGO,people_with_insufficient_food_consumption
2022-10-03,4517432,4517432,4517432,AGO,people_with_insufficient_food_consumption
2022-10-04,4756359,4756359,4756359,AGO,people_with_insufficient_food_consumption
2022-10-05,4769421,4769421,4769421,AGO,people_with_insufficient_food_consumption
2022-10-06,4818059,4818059,4818059,AGO,people_with_insufficient_food_consumption
2022-10-07,4839029,4839029,4839029,AGO,people_with_insufficient_food_consumption
2022-10-08,4536782,4536782,4536782,AGO,people_with_insufficient_food_consumption
2022-10-09,4489540,4489540,4489540,AGO,people_with_insufficient_food_consumption
2022-10-10,4393751,4393751,4393751,AGO,people_with_insufficient_food_consumption
2022-10-11,4194856,4194856,4194856,AGO,people_with_insufficient_food_consumption
2022-10-12,4229682,4229682,4229682,AGO,people_with_insufficient_food_consumption
2022-10-13,4225194,4225194,4225194,AGO,people_with_insufficient_food_consumption
2022-10-14,4140210,4140210,4140210,AGO,people_with_insufficient_food_consumption
2022-10-15,4091082,4091082,4091082,AGO,people_with_insufficient_food_consumption
2022-10-16,4056093,4056093,4056093,AGO,people_with_insufficient_food_consumption
2022-10-17,4009620,4009620,4009620,AGO,people_with_insufficient_food_consumption
2022-10-18,4009373,4009373,4009373,AGO,people_with_insufficient_food_consumption
2022-10-19,4022593,4022593,4022593,AGO,people_with_insufficient_food_consumption
2022-10-20,3741445,3741445,3741445,AGO,people_with_insufficient_food_consumption
2022-10-21,3828649,3828649,3828649,AGO,people_with_insufficient_food_consumption
2022-10-22,3824061,3824061,3824061,AGO,people_with_insufficient_food_consumption
2022-10-23,3819756,3819756,3819756,AGO,people_with_insufficient_food_consumption
2022-10-24,3882928,3882928,3882928,AGO,people_with_insufficient_food_consumption
2022-10-25,3902714,3902714,3902714,AGO,people_with_insufficient_food_consumption
2022-10-26,3891747,3891747,3891747,AGO,people_with_insufficient_food_consumption
2022-10-27,3787495,3787495,3787495,AGO,people_with_insufficient_food_consumption
2022-10-28,3706493,3706493,3706493,AGO,people_with_insufficient_food_consumption
2022-10-29,3609504,3609504,3609504,AGO,people_with_insufficient_food_consumption
2022-10-30,3597399,3597399,3597399,AGO,people_with_insufficient_food_consumption
2022-10-31,3522272,3522272,3522272,AGO,people_with_insufficient_food_consumption
2022-11-01,3369885,3369885,3369885,AGO,people_with_insufficient_food_consumption
2022-11-02,3413368,3413368,3413368,AGO,people_with_insufficient_food_consumption
2022-11-03,3354133,3354133,3354133,AGO,people_with_insufficient_food_consumption
2022-11-04,3333938,3333938,3333938,AGO,people_with_insufficient_food_consumption
2022-11-05,3334931,3334931,3334931,AGO,people_with_insufficient_food_consumption
2022-11-06,3297044,3297044,3297044,AGO,people_with_insufficient_food_consumption
2022-11-07,3346998,3346998,3346998,AGO,people_with_insufficient_food_consumption
2022-11-08,3426905,3426905,3426905,AGO,people_with_insufficient_food_consumption
2022-11-09,3329547,3329547,3329547,AGO,people_with_insufficient_food_consumption
2022-11-10,3296122,3296122,3296122,AGO,people_with_insufficient_food_consumption
2022-11-11,3258433,3258433,3258433,AGO,people_with_insufficient_food_consumption
2022-11-12,3171612,3171612,3171612,AGO,people_with_insufficient_food_consumption
2022-11-13,3206158,3206158,3206158,AGO,people_with_insufficient_food_consumption
2022-11-14,3108959,3108959,3108959,AGO,people_with_insufficient_food_consumption
2022-11-15,3091075,3091075,3091075,AGO,people_with_insufficient_food_consumption
2022-11-16,3105641,3105641,3105641,AGO,people_with_insufficient_food_consumption
2022-11-17,3091139,3091139,3091139,AGO,people_with_insufficient_food_consumption
2022-11-18,3114256,3114256,3114256,AGO,people_with_insufficient_food_consumption
2022-11-19,2886367,2886367,2886367,AGO,people_with_insufficient_food_consumption
2022-11-20,2890508,2890508,2890508,AGO,people_with_insufficient_food_consumption
2022-11-21,2948224,2948224,2948224,AGO,people_with_insufficient_food_consumption
2022-11-22,2895683,2895683,2895683,AGO,people_with_insufficient_food_consumption
2022-11-23,2910012,2910012,2910012,AGO,people_with_insufficient_food_consumption
2022-11-24,2950790,2950790,2950790,AGO,people_with_insufficient_food_consumption
2022-11-25,2928204,2928204,2928204,AGO,people_with_insufficient_food_consumption
2022-11-26,2915129,2915129,2915129,AGO,people_with_insufficient_food_consumption
2022-11-27,2943642,2943642,2943642,AGO,people_with_insufficient_food_consumption
2022-11-28,2967266,2967266,2967266,AGO,people_with_insufficient_food_consumption
2022-11-29,3083192,3083192,3083192,AGO,people_with_insufficient_food_consumption
2022-11-30,2985715,2985715,2985715,AGO,people_with_insufficient_food_consumption
2022-12-01,3006708,3006708,3006708,AGO,people_with_insufficient_food_consumption
2022-12-02,3016000,3016000,3016000,AGO,people_with_insufficient_food_consumption
2022-12-03,2995533,2995533,2995533,AGO,people_with_insufficient_food_consumption
2022-12-04,2966700,2966700,2966700,AGO,people_with_insufficient_food_consumption
2022-12-05,2974481,2974481,2974481,AGO,people_with_insufficient_food_consumption
2022-12-06,2916073,2916073,2916073,AGO,people_with_insufficient_food_consumption
2022-12-07,2904667,2904667,2904667,AGO,people_with_insufficient_food_consumption
2022-12-08,2908941,2908941,2908941,AGO,people_with_insufficient_food_consumption
2022-09-08,479499,685526,352507,ARM,people_with_insufficient_food_consumption
2022-09-09,479499,685526,352558,ARM,people_with_insufficient_food_consumption
2022-09-10,479499,685526,352558,ARM,people_with_insufficient_food_consumption
2022-09-11,479399,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-12,479399,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-13,479399,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-14,479399,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-15,479399,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-16,479399,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-17,479370,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-18,479370,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-19,479370,686575,353593,ARM,people_with_insufficient_food_consumption
2022-09-20,480935,687257,359260,ARM,people_with_insufficient_food_consumption
2022-09-21,480943,685305,358180,ARM,people_with_insufficient_food_consumption
2022-09-22,480943,685305,358180,ARM,people_with_insufficient_food_consumption
2022-09-23,480943,685305,358180,ARM,people_with_insufficient_food_consumption
2022-09-24,480943,685305,358180,ARM,people_with_insufficient_food_consumption
2022-09-25,480943,685305,358180,ARM,people_with_insufficient_food_consumption
2022-09-26,480943,685305,358180,ARM,people_with_insufficient_food_consumption
2022-09-27,481690,688095,358333,ARM,people_with_insufficient_food_consumption
2022-09-28,481864,690477,358349,ARM,people_with_insufficient_food_consumption
2022-09-29,481864,690477,358349,ARM,people_with_insufficient_food_consumption
2022-09-30,481864,689612,358349,ARM,people_with_insufficient_food_consumption
2022-10-01,479898,688986,358044,ARM,people_with_insufficient_food_consumption
2022-10-02,473541,679022,355640,ARM,people_with_insufficient_food_consumption
2022-10-03,474796,682676,355750,ARM,people_with_insufficient_food_consumption
2022-10-04,474796,682676,355750,ARM,people_with_insufficient_food_consumption
2022-10-05,474796,682676,355750,ARM,people_with_insufficient_food_consumption
2022-10-06,475370,683421,356218,ARM,people_with_insufficient_food_consumption
2022-10-07,475649,683421,357940,ARM,people_with_insufficient_food_consumption
2022-10-08,475649,683421,357940,ARM,people_with_insufficient_food_consumption
2022-10-09,475649,683421,357940,ARM,people_with_insufficient_food_consumption
2022-10-10,475649,683421,357940,ARM,people_with_insufficient_food_consumption
2022-10-11,474631,683969,357514,ARM,people_with_insufficient_food_consumption
2022-10-12,474631,683969,357514,ARM,people_with_insufficient_food_consumption
2022-10-13,474631,683969,357514,ARM,people_with_insufficient_food_consumption
2022-10-14,474631,683969,357514,ARM,people_with_insufficient_food_consumption
2022-10-15,476055,695286,359319,ARM,people_with_insufficient_food_consumption
2022-10-16,476055,695286,359319,ARM,people_with_insufficient_food_consumption
2022-10-17,476055,695286,359319,ARM,people_with_insufficient_food_consumption
2022-10-18,478922,691284,358440,ARM,people_with_insufficient_food_consumption
2022-10-19,478922,691284,358440,ARM,people_with_insufficient_food_consumption
2022-10-20,478922,691284,358440,ARM,people_with_insufficient_food_consumption
2022-10-21,478608,691157,358116,ARM,people_with_insufficient_food_consumption
2022-10-22,478608,691157,358116,ARM,people_with_insufficient_food_consumption
2022-10-23,478608,691157,358321,ARM,people_with_insufficient_food_consumption
2022-10-24,478608,696393,358321,ARM,people_with_insufficient_food_consumption
2022-10-25,478368,696393,358894,ARM,people_with_insufficient_food_consumption
2022-10-26,481167,697586,362388,ARM,people_with_insufficient_food_consumption
2022-10-27,480947,697586,362388,ARM,people_with_insufficient_food_consumption
2022-10-28,482447,698346,366781,ARM,people_with_insufficient_food_consumption
2022-10-29,482227,698346,366781,ARM,people_with_insufficient_food_consumption
2022-10-30,482227,698346,366781,ARM,people_with_insufficient_food_consumption
2022-10-31,483187,698346,366781,ARM,people_with_insufficient_food_consumption
2022-11-01,480320,694777,365824,ARM,people_with_insufficient_food_consumption
2022-11-02,480445,694777,365824,ARM,people_with_insufficient_food_consumption
2022-11-03,480445,694777,365824,ARM,people_with_insufficient_food_consumption
2022-11-04,480320,694777,365824,ARM,people_with_insufficient_food_consumption
2022-11-05,480921,694794,366736,ARM,people_with_insufficient_food_consumption
2022-11-06,480921,694794,366736,ARM,people_with_insufficient_food_consumption
2022-11-07,481634,694794,366127,ARM,people_with_insufficient_food_consumption
2022-11-08,482222,695246,366449,ARM,people_with_insufficient_food_consumption
2022-11-09,482222,695246,366449,ARM,people_with_insufficient_food_consumption
2022-11-10,482222,695246,366449,ARM,people_with_insufficient_food_consumption
2022-11-11,480781,699314,367483,ARM,people_with_insufficient_food_consumption
2022-11-12,480781,699314,367483,ARM,people_with_insufficient_food_consumption
2022-11-13,480781,699314,367483,ARM,people_with_insufficient_food_consumption
2022-11-14,481276,699314,369308,ARM,people_with_insufficient_food_consumption
2022-11-15,481254,699314,369308,ARM,people_with_insufficient_food_consumption
2022-11-16,482137,699314,370349,ARM,people_with_insufficient_food_consumption
2022-11-17,482137,699314,370349,ARM,people_with_insufficient_food_consumption
2022-11-18,481642,699890,370349,ARM,people_with_insufficient_food_consumption
2022-11-19,480924,699890,370349,ARM,people_with_insufficient_food_consumption
2022-11-20,480924,699890,370349,ARM,people_with_insufficient_food_consumption
2022-11-21,481014,699474,369935,ARM,people_with_insufficient_food_consumption
2022-11-22,481014,699077,369935,ARM,people_with_insufficient_food_consumption
2022-11-23,481115,699077,369935,ARM,people_with_insufficient_food_consumption
2022-11-24,481115,699077,369935,ARM,people_with_insufficient_food_consumption
2022-11-25,480994,699053,370223,ARM,people_with_insufficient_food_consumption
2022-11-26,480994,699053,370223,ARM,people_with_insufficient_food_consumption
2022-11-27,481518,698433,370640,ARM,people_with_insufficient_food_consumption
2022-11-28,480211,695320,370771,ARM,people_with_insufficient_food_consumption
2022-11-29,480142,695320,370472,ARM,people_with_insufficient_food_consumption
2022-11-30,479914,686856,370472,ARM,people_with_insufficient_food_consumption
2022-12-01,478791,687352,372949,ARM,people_with_insufficient_food_consumption
2022-12-02,478791,687352,372949,ARM,people_with_insufficient_food_consumption
2022-12-03,479213,692022,372898,ARM,people_with_insufficient_food_consumption
2022-12-04,477606,688729,372347,ARM,people_with_insufficient_food_consumption
2022-12-05,474169,685119,366820,ARM,people_with_insufficient_food_consumption
2022-12-06,473900,679040,364539,ARM,people_with_insufficient_food_consumption
2022-12-07,473259,679040,364489,ARM,people_with_insufficient_food_consumption
2022-12-08,473259,679040,364489,ARM,people_with_insufficient_food_consumption
2022-09-08,4074296,4540716,3585584,BDI,people_with_insufficient_food_consumption
2022-09-09,4073255,4539923,3585584,BDI,people_with_insufficient_food_consumption
2022-09-10,4073255,4539923,3585584,BDI,people_with_insufficient_food_consumption
2022-09-11,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-12,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-13,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-14,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-15,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-16,4071967,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-17,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-18,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-19,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-20,4072099,4540219,3589612,BDI,people_with_insufficient_food_consumption
2022-09-21,4090595,4560373,3600574,BDI,people_with_insufficient_food_consumption
2022-09-22,4090374,4560373,3600574,BDI,people_with_insufficient_food_consumption
2022-09-23,4090223,4559641,3600574,BDI,people_with_insufficient_food_consumption
2022-09-24,4090374,4560373,3600574,BDI,people_with_insufficient_food_consumption
2022-09-25,4090595,4560373,3600574,BDI,people_with_insufficient_food_consumption
2022-09-26,4090595,4560373,3600574,BDI,people_with_insufficient_food_consumption
2022-09-27,4090595,4560373,3600574,BDI,people_with_insufficient_food_consumption
2022-09-28,4090595,4560373,3600574,BDI,people_with_insufficient_food_consumption
2022-09-29,4090595,4560373,3600574,BDI,people_with_insufficient_food_consumption
2022-09-30,4090030,4560087,3600707,BDI,people_with_insufficient_food_consumption
2022-10-01,4089940,4564217,3596629,BDI,people_with_insufficient_food_consumption
2022-10-02,4099190,4564964,3617835,BDI,people_with_insufficient_food_consumption
2022-10-03,4099302,4564964,3617835,BDI,people_with_insufficient_food_consumption
2022-10-04,4099302,4564964,3617835,BDI,people_with_insufficient_food_consumption
2022-10-05,4099302,4564964,3617835,BDI,people_with_insufficient_food_consumption
2022-10-06,4110522,4579521,3615767,BDI,people_with_insufficient_food_consumption
2022-10-07,4110522,4579521,3615767,BDI,people_with_insufficient_food_consumption
2022-10-08,4110522,4579521,3615767,BDI,people_with_insufficient_food_consumption
2022-10-09,4110522,4579521,3615767,BDI,people_with_insufficient_food_consumption
2022-10-10,4110892,4580331,3615767,BDI,people_with_insufficient_food_consumption
2022-10-11,4109701,4580397,3618441,BDI,people_with_insufficient_food_consumption
2022-10-12,4109550,4579588,3618441,BDI,people_with_insufficient_food_consumption
2022-10-13,4109550,4579588,3618441,BDI,people_with_insufficient_food_consumption
2022-10-14,4112883,4581443,3626193,BDI,people_with_insufficient_food_consumption
2022-10-15,4139188,4597905,3641949,BDI,people_with_insufficient_food_consumption
2022-10-16,4152083,4599778,3652384,BDI,people_with_insufficient_food_consumption
2022-10-17,4152083,4599778,3652384,BDI,people_with_insufficient_food_consumption
2022-10-18,4152083,4599778,3652384,BDI,people_with_insufficient_food_consumption
2022-10-19,4152083,4599778,3652384,BDI,people_with_insufficient_food_consumption
2022-10-20,4152083,4599778,3652384,BDI,people_with_insufficient_food_consumption
2022-10-21,4150774,4600174,3643784,BDI,people_with_insufficient_food_consumption
2022-10-22,4150050,4600174,3643784,BDI,people_with_insufficient_food_consumption
2022-10-23,4150774,4600174,3643784,BDI,people_with_insufficient_food_consumption
2022-10-24,4150774,4601298,3643784,BDI,people_with_insufficient_food_consumption
2022-10-25,4150774,4601298,3643784,BDI,people_with_insufficient_food_consumption
2022-10-26,4136742,4586273,3629372,BDI,people_with_insufficient_food_consumption
2022-10-27,4136018,4585149,3629372,BDI,people_with_insufficient_food_consumption
2022-10-28,4158465,4596538,3649786,BDI,people_with_insufficient_food_consumption
2022-10-29,4158465,4596538,3649786,BDI,people_with_insufficient_food_consumption
2022-10-30,4158465,4596538,3649786,BDI,people_with_insufficient_food_consumption
2022-10-31,4158675,4596538,3649786,BDI,people_with_insufficient_food_consumption
2022-11-01,4226796,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-02,4226796,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-03,4226796,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-04,4226517,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-05,4226796,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-06,4226796,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-07,4226796,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-08,4226796,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-09,4226796,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-10,4226517,4661106,3705506,BDI,people_with_insufficient_food_consumption
2022-11-11,4283271,4718056,3730357,BDI,people_with_insufficient_food_consumption
2022-11-12,4283271,4718056,3730357,BDI,people_with_insufficient_food_consumption
2022-11-13,4283297,4718056,3730357,BDI,people_with_insufficient_food_consumption
2022-11-14,4283297,4718056,3730357,BDI,people_with_insufficient_food_consumption
2022-11-15,4283297,4718056,3730357,BDI,people_with_insufficient_food_consumption
2022-11-16,4284024,4719040,3735686,BDI,people_with_insufficient_food_consumption
2022-11-17,4284024,4719040,3735686,BDI,people_with_insufficient_food_consumption
2022-11-18,4282527,4721312,3736518,BDI,people_with_insufficient_food_consumption
2022-11-19,4283021,4720273,3735024,BDI,people_with_insufficient_food_consumption
2022-11-20,4279847,4711820,3731230,BDI,people_with_insufficient_food_consumption
2022-11-21,4302417,4740798,3737737,BDI,people_with_insufficient_food_consumption
2022-11-22,4302417,4740798,3737737,BDI,people_with_insufficient_food_consumption
2022-11-23,4302417,4740798,3737737,BDI,people_with_insufficient_food_consumption
2022-11-24,4301453,4740798,3737737,BDI,people_with_insufficient_food_consumption
2022-11-25,4302571,4733717,3747309,BDI,people_with_insufficient_food_consumption
2022-11-26,4302571,4733717,3747309,BDI,people_with_insufficient_food_consumption
2022-11-27,4302571,4733717,3747309,BDI,people_with_insufficient_food_consumption
2022-11-28,4305134,4732223,3750060,BDI,people_with_insufficient_food_consumption
2022-11-29,4305134,4733187,3749059,BDI,people_with_insufficient_food_consumption
2022-11-30,4305134,4733187,3749059,BDI,people_with_insufficient_food_consumption
2022-12-01,4303941,4753544,3725437,BDI,people_with_insufficient_food_consumption
2022-12-02,4303941,4753544,3725437,BDI,people_with_insufficient_food_consumption
2022-12-03,4303941,4753544,3725437,BDI,people_with_insufficient_food_consumption
2022-12-04,4301880,4748414,3718732,BDI,people_with_insufficient_food_consumption
2022-12-05,4303941,4753544,3725437,BDI,people_with_insufficient_food_consumption
2022-12-06,4302565,4754587,3728254,BDI,people_with_insufficient_food_consumption
2022-12-07,4302565,4754587,3728254,BDI,people_with_insufficient_food_consumption
2022-12-08,4302565,4754587,3728254,BDI,people_with_insufficient_food_consumption
2021-12-08,4975178,4975178,4975178,BEN,people_with_insufficient_food_consumption
2021-12-09,4976575,4976575,4976575,BEN,people_with_insufficient_food_consumption
2021-12-10,4986300,4986300,4986300,BEN,people_with_insufficient_food_consumption
2021-12-11,5050380,5050380,5050380,BEN,people_with_insufficient_food_consumption
2021-12-12,5084654,5084654,5084654,BEN,people_with_insufficient_food_consumption
2021-12-13,5060202,5060202,5060202,BEN,people_with_insufficient_food_consumption
